movie,chapter,character,dialog,part,dialog_len
Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,"What, you? Go to Smeltings?",1,5
Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it.",1,27
Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin.,1,14
Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,It'll fit you well enough. Go get the post.  Go!,1,10
Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,"Oh, Marge is ill! Ate a funny whelk.",1,8
Harry Potter and the Philosopher's Stone,Letters from No One,Dudley Dursley,Dad! Look! Harry's got a letter!,1,6
Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,"Hey, give it back! It's mine!",1,6
Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Yours? Who'd be writing to you?,1,6
Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,No more mail through this letterbox.,1,6
Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,"Have a lovely day at the office, dear.",1,8
Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,"Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?",1,15
Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,Because there's no post on Sunday?,1,6
Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-",1,29
Harry Potter and the Philosopher's Stone,Letters from No One,Dudley Dursley,AHH! Make it stop! Please make it stop!,1,8
Harry Potter and the Philosopher's Stone,Letters from No One,Dudley Dursley,What is it? Please tell me what's happening!,1,8
Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Give me that! Give me that letter!,1,7
Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,They're my letters! Let go of me!,1,7
Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,That's it! We're going away! Far away! Where they can't find us!,1,12
Harry Potter and the Philosopher's Stone,Letters from No One,Dudley Dursley,"Daddy's gone mad, hasn't he?!",1,5
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,"I demand that you leave at once, sir! You are breaking and entering!",1,13
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!",1,32
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh.",1,37
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"It's not every day that your young man turns eleven, now is it?",1,13
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"Excuse me, who are you?",1,5
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts.",1,15
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?",1,15
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"A wizard. And a thumping good one at that, I'd wager. Once you train up a little.",1,17
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry.",1,16
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah.",1,20
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry.",1,21
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,"He'll not be going! We swore when we took him in, we’d put a stop to this rubbish!",1,18
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,You knew? You knew all along and you never told me?,1,11
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Petunia Dursley,"Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you.",1,98
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,Blown up? You told me my parents died in a car crash!,1,12
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,A car crash? A car crash kill James and Lily Potter?,1,11
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Petunia Dursley,We had to tell him something.,1,6
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,It's an outrage! It's a scandal!,1,6
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?",1,15
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Non magic folk.  This boy's had his name down ever since he was born!  He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the finest headmaster that Hogwarts has ever seen: Albus Dumbledore.",1,41
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,I will not pay for some crackpot old fool to teach him magic tricks!,1,14
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Never, insult Albus Dumbledore, in front of me.",1,8
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic.",1,21
Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?",1,16
Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"First year students will require: three sets of work robes, one wand.",1,12
Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Essential bit of equipment, Harry.",1,5
Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?",1,13
Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Well, they don't mean for a penguin, do they? Heh. Crikey, but not a dragon.",1,15
Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,But you like a dragon?,1,5
Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Fast and misunderstood beasts, Harry. Fast and misunderstood.",1,8
Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Could we find all this in London?",1,32
Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,If you know where to go.,1,6
Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies.",1,18
Harry Potter and the Philosopher's Stone,Diagon Alley,Quirinus Quirrell,Harry P-potter. C-can't tell you how pleased I am to meet you.,1,12
Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts.",1,23
Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"Oh, nice to meet you.",1,5
Harry Potter and the Philosopher's Stone,Diagon Alley,Quirinus Quirrell,"F-fearfully fascinating subject. N-not that you need it, e-eh, Potter? Heheh.",1,11
Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Yes, well, must be going now. Lots to buy. Heh.",1,10
Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"But why am I famous, Hagrid? All those people back there, how is it they know who I am?",1,19
Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"I'm not exactly sure I'm the right person to tell you that, Harry.  Welcome, Harry, to Diagon Alley.  Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry.",1,38
Harry Potter and the Philosopher's Stone,Gringotts,Harry Potter,"But, Hagrid, how am I to pay for all this? I haven't any money.",1,14
Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts.",1,16
Harry Potter and the Philosopher's Stone,Gringotts,Harry Potter,"Uh, Hagrid, what exactly are these things?",1,7
Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal.",1,28
Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which.",1,31
Harry Potter and the Philosopher's Stone,Gringotts,Griphook,"Vault 687. Lamp, please.  Key please.",1,6
Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Didn't think your mum and dad would leave you with nothing now, did ya?",1,14
Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Can't tell you, Harry. It's Hogwarts business. Very secret.",1,9
Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Best not mention this to anyone, Harry.",1,7
Harry Potter and the Philosopher's Stone,Ollivanders,Rubeus Hagrid,"A wand? Well, you'll want Ollivanders.  No place better. Run along there, but wait. I just got one more thing I got to do. Won't be long.",1,27
Harry Potter and the Philosopher's Stone,Ollivanders,Garrick Ollivander,"I wondered when I'd be seeing you, Mr. Potter. It seems only yesterday that your mother and father were in here buying their first wands.  Ah. Here we are.  Well, give it a wave.  Apparently not.  Perhaps this.  No, no, definitely not! No matter...  I wonder.  Curious, very curious.",1,49
Harry Potter and the Philosopher's Stone,Ollivanders,Garrick Ollivander,"I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix, whose tail feather resides in your wand gave one other feather, just one. It is curious that you should be destined for this wand when its brother gave you that scar.",1,47
Harry Potter and the Philosopher's Stone,Ollivanders,Garrick Ollivander,"Oh, we do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why, but I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things...terrible, yes, but great.",1,42
Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"You all right, Harry? You seem very quiet.",1,8
Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,"He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do.",1,19
Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago, there was one wizard who went as bad as you can go. And his name was V-...his name was V-...",1,43
Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,Maybe if you wrote it down?,1,6
Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"No, I can't spell it. All right.  Voldemort.",1,8
Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"It was dark times, Harry, dark times.  Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em.  Nobody...not one. ‘Cept you.",1,47
Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,Me? Voldemort tried to kill...me?,1,5
Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"Yes. That ain't no ordinary cut on your forehead, Harry. A mark like that only comes from being touched by a curse...and an evil curse at that.",1,27
Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"Well, some say he died. Codswallop in my opinion. Nope, I reckon he's out there, still, too tired to go on. But one thing's absolutely certain. Something about you stumped him that night. That's why you're famous. That's why everybody knows your name. You're the boy who lived.",1,48
Harry Potter and the Philosopher's Stone,Platform 9¾,Rubeus Hagrid,"What're you looking at?  Blimey, is that the time? Sorry, Harry, I'm gonna have to leave you. Dumbledore'll be wanting his- well, he'll be wanting to see me. Now, uh, your train leaves in 10 minutes. Here's your ticket.  Stick to it, Harry that's very important. Stick to your ticket.",1,50
Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,"Platform 9¾? But, Hagrid, there must be a mistake. This says Platform 9¾. There's no such thing...is there?",1,18
Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,"Excuse me, sir. Can you tell me where I might find Platform 9¾?",1,13
Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"It's the same year after year. Always packed with Muggles, of course.",1,12
Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"Come on. Platform 9¾ this way! All right, Percy, you first.",1,11
Harry Potter and the Philosopher's Stone,Platform 9¾,George Weasley,"He's not Fred, I am!",1,5
Harry Potter and the Philosopher's Stone,Platform 9¾,Fred Weasley,"Honestly, woman, you call yourself our mother.",1,7
Harry Potter and the Philosopher's Stone,Platform 9¾,Fred Weasley,I'm only joking. I am Fred.,1,6
Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,Excuse me! C-could you tell me how to-,1,8
Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"How to get on the platform? Yes, not to worry, dear. It's Ron's first time to Hogwarts as well.  Now, all you've got to do is walk straight at the wall between platforms 9 and 10. Best do it at a bit of a run if you're nervous.",1,48
Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"Excuse me, do you mind? Everywhere else is full.",1,9
Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"I'm Ron, by the way. Ron Weasley.",1,7
Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"So-so it's true? I mean, do you really have the...the...",1,10
Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"No, thanks, I'm all set.",1,5
Harry Potter and the Philosopher's Stone,Ron and Hermione,Harry Potter,Bertie Bott's Every Flavour Beans?,1,5
Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"They mean every flavour! There's chocolate and peppermint, and there's also spinach, liver and tripe. George sweared he got a bogey-flavoured one once!",1,23
Harry Potter and the Philosopher's Stone,Ron and Hermione,Harry Potter,"These aren't real chocolate frogs, are they?",1,7
Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"It's just a spell. Besides, it's the cards you want. Each pack's got a famous witch or wizard. I got about 500 meself.  Watch it!  Oh, that's rotten luck. They've only got one good jump in them to begin with.",1,40
Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,I got about 6 of him.,1,6
Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"Well, you can't expect him to hang around all day, can you?  This is Scabbers, by the way, pathetic, isn't he?",1,21
Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,Fred gave me a spell as to turn him yellow. Want to see?,1,13
Harry Potter and the Philosopher's Stone,Ron and Hermione,Hermione Granger,Has anyone seen a toad? A boy named Neville's lost one.,1,11
Harry Potter and the Philosopher's Stone,Ron and Hermione,Hermione Granger,"Oh, are you doing magic? Let's see then.",1,8
Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"Sunshine, daises, butter mellow, turn this stupid fat rat yellow!",1,10
Harry Potter and the Philosopher's Stone,Ron and Hermione,Hermione Granger,"Are you sure that's a real spell? Well, it's not very good, is it? Of course I've only tried a few simple spells myself, and they've all worked for me. For example...  Oculus Reparo.  That's better, isn't it? Holy Cricket, you're Harry Potter. I'm Hermione Granger...and you are...?",1,48
Harry Potter and the Philosopher's Stone,Ron and Hermione,Hermione Granger,"Pleasure. You two better change into your robes. I expect we'll be arriving soon.  You've got dirt, on your nose, by the way, did you know? Just there.",1,28
Harry Potter and the Philosopher's Stone,Welcome to Hogwarts,Rubeus Hagrid,"Right, then! First years! This way, please! Come on, now, don't be shy! Come on now, hurry up!",1,18
Harry Potter and the Philosopher's Stone,Welcome to Hogwarts,Rubeus Hagrid,"Right then. This way to the boats! Come on, now, follow me.",1,12
Harry Potter and the Philosopher's Stone,Welcome to Hogwarts,Minerva McGonagall,"Welcome to Hogwarts. Now, in a few moments, you will pass through these doors and join your classmates. But before you can take your seats, you must be sorted into your houses. They are Gryffindor, Hufflepuff, Ravenclaw, and Slytherin. Now while you’re here, your house will be like your family. Your triumphs will earn you house points. Any rule breaking, and you will lose points. At the end of the year, the house with the most points is awarded the house cup.",1,82
Harry Potter and the Philosopher's Stone,Welcome to Hogwarts,Minerva McGonagall,The sorting ceremony will begin momentarily.,1,6
Harry Potter and the Philosopher's Stone,Welcome to Hogwarts,Draco Malfoy,"It's true then, what they're saying on the train. Harry Potter has come to Hogwarts.  This is Crabbe and Goyle. And I'm Malfoy...Draco Malfoy.  Think my name's funny, do you? No need to ask yours. Red hair, and a hand-me-down robe? You must be a Weasley. Well, soon find that some wizarding families are better than others, Potter. Don’t want to go making friends with the wrong sort. I can help you there.",1,73
Harry Potter and the Philosopher's Stone,Welcome to Hogwarts,Harry Potter,"I think I can tell who the wrong sort are for myself, thanks.",1,13
Harry Potter and the Philosopher's Stone,Welcome to Hogwarts,Minerva McGonagall,We're ready for you now. Follow me.,1,7
Harry Potter and the Philosopher's Stone,The Sorting Hat,Hermione Granger,"It's not real, the ceiling. It's just bewitched to look like the night sky. I read about it in Hogwarts: A History.",1,22
Harry Potter and the Philosopher's Stone,The Sorting Hat,Minerva McGonagall,"Will you wait along here, please? Now, before we begin, Professor Dumbledore would like to say a few words.",1,19
Harry Potter and the Philosopher's Stone,The Sorting Hat,Albus Dumbledore,"I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch  has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you.",1,66
Harry Potter and the Philosopher's Stone,The Sorting Hat,Minerva McGonagall,"When I call your name, you will come forth, I shall place the sorting hat on your head, and you will be sorted into your houses. Hermione Granger.",1,28
Harry Potter and the Philosopher's Stone,The Sorting Hat,Ron Weasley,"Mental that one, I'm telling you.",1,6
Harry Potter and the Philosopher's Stone,The Sorting Hat,Ron Weasley,There isn't a witch or wizard who went bad who wasn’t in Slytherin.,1,13
Harry Potter and the Philosopher's Stone,The Sorting Hat,Fred Weasley,We got Potter! We got Potter!,1,6
Harry Potter and the Philosopher's Stone,The Sorting Hat,George Weasley,We got Potter! We got Potter!,1,6
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Seamus Finnigan,I'm half and half. Me dad's a Muggle. Mam's a witch. Bit of a nasty shock for him when he found out.,1,22
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Harry Potter,"Say, Percy, who's that teacher talking to Professor Quirrell?",1,9
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Percy Weasley,"Oh, that's Professor Snape, head of Slytherin house.",1,8
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Percy Weasley,Potions. But everyone knows it's the Dark Arts he fancies. He's been after Quirrell’s job for years.,1,17
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Percy Weasley,"Hello, Sir Nicholas. Have a nice summer?",1,7
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Ron Weasley,I know you! You're Nearly Headless Nick!,1,7
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Hermione Granger,Nearly headless? How can you be nearly headless?,1,8
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Percy Weasley,"Gryffindors, follow me, please. Keep up. Thank you.",1,8
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Percy Weasley,"This is the most direct path to the dormitories. Oh, and keep an eye on the staircases...they like to change.",1,20
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Percy Weasley,"Keep up, please, and follow me. Quickly now, come on. Come on.",1,12
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Ron Weasley,"Look at that one, Harry!",1,5
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Harry Potter,I think she fancies you.,1,5
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Percy Weasley,"Caput Draconis.  Follow me, everyone. Keep up, quickly, come on.",1,10
Harry Potter and the Philosopher's Stone,Nick and Other Residents,Percy Weasley,"Gather 'round here. Welcome to the Gryffindor Common Room. Boy's dormitories, upstairs and down to your left. Girls, the same on your right. You'll find that your belongings have already been brought up.",1,33
Harry Potter and the Philosopher's Stone,Potions and Parcels,Ron Weasley,"Whew, we made it. Can you imagine the look on McGonagall's face if we were late?",1,16
Harry Potter and the Philosopher's Stone,Potions and Parcels,Minerva McGonagall,"Thank you for that assessment, Mr. Weasley. Perhaps if I were to transfigure Mr. Potter and yourself into a pocketwatch, that way one of you might be on time.",1,29
Harry Potter and the Philosopher's Stone,Potions and Parcels,Minerva McGonagall,Then perhaps a map? I trust you don't need one to find your seats.,1,14
Harry Potter and the Philosopher's Stone,Potions and Parcels,Severus Snape,"There will be no foolish wand waving or silly incantations in this class. As such, I don't expect many of you to appreciate the subtle science and exact art that is potion making. However, for those select few...  who possess the predisposition, I can teach you how to bewitch the mind and ensnare the senses. I can tell you how to bottle fame, brew glory and even put a stopper...  in death.  Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confidant enough to not...pay...attention.  Mr. Potter. Our...new...celebrity. Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?  You don't know? Well, let's try again. Where, Mr. Potter, would you look if I asked you to find me a bezoar?",1,138
Harry Potter and the Philosopher's Stone,Potions and Parcels,Severus Snape,And what is the difference between monkshood and wolfbane?,1,9
Harry Potter and the Philosopher's Stone,Potions and Parcels,Severus Snape,"Pity. Clearly, fame isn't everything...  is it, Mr. Potter?",1,9
Harry Potter and the Philosopher's Stone,Potions and Parcels,Harry Potter,"Clearly, Hermione knows. Since it's a pity not to ask her.",1,11
Harry Potter and the Philosopher's Stone,Potions and Parcels,Severus Snape,"Silence.  And put her hand down, you silly girl.  For your information, Potter... asphodel and wormwood make a sleeping potion so powerful, it is known as the Draught of Living Death. A bezoar is a stone taken from the stomach of a goat and it will save you from most poisons. As for monkshood and wolfsbane, they are the same plant, which also goes by the name of aconite.  Well?  Why aren't you all copying this down?  And Gryffindors, note that five points, will be taken from your house... for your classmate's cheek.",1,93
Harry Potter and the Philosopher's Stone,Potions and Parcels,Seamus Finnigan,"Eye of rabbit, harp string hum. Turn this water, into rum.  Eye of rabbit, harp string hum...",1,17
Harry Potter and the Philosopher's Stone,Potions and Parcels,Harry Potter,What's Seamus trying to do to that glass of water?,1,10
